,City,Lat,Lon,Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,Saint Anthony,45.02,-93.22,44.13,30,1,13.87,US,<class 'datetime.date'>
259,Lebu,-37.62,-73.65,56.55,85,100,3.22,CL,<class 'datetime.date'>
260,Vestmannaeyjar,63.44,-20.27,41.79,67,33,6.4,IS,<class 'datetime.date'>
261,Villarrica,-25.75,-56.43,43.75,87,0,3.6,PY,<class 'datetime.date'>
262,Leninsk-Kuznetsky,54.66,86.17,57.2,35,21,6.71,RU,<class 'datetime.date'>
263,Butaritari,3.07,172.79,83.55,77,16,10.04,KI,<class 'datetime.date'>
264,Grants Pass,42.44,-123.33,61.23,40,1,5.82,US,<class 'datetime.date'>
265,Victor Harbor,-35.57,138.62,64.0,69,62,1.01,AU,<class 'datetime.date'>
266,Samarinda,-0.5,117.15,90.07,63,72,4.7,ID,<class 'datetime.date'>
267,Sydney,-33.87,151.21,77.63,61,0,1.99,AU,<class 'datetime.date'>
268,Tara,56.89,74.37,76.71,24,0,6.64,RU,<class 'datetime.date'>
269,Puerto Madryn,-42.77,-65.04,64.6,44,99,12.57,AR,<class 'datetime.date'>
270,Kongolo,-5.38,27.0,73.27,88,100,4.47,CD,<class 'datetime.date'>
271,Labuhan,-6.88,112.21,87.87,67,18,6.04,ID,<class 'datetime.date'>
272,Maragogi,-9.01,-35.22,78.03,81,98,3.36,BR,<class 'datetime.date'>
273,Pedasí,7.53,-80.03,80.89,85,98,12.62,PA,<class 'datetime.date'>
274,Tegul'det,57.31,88.17,56.95,40,71,3.2,RU,<class 'datetime.date'>
275,São João da Barra,-21.64,-41.05,66.31,87,100,12.44,BR,<class 'datetime.date'>
276,Lamu,-2.27,40.9,79.88,87,92,17.78,KE,<class 'datetime.date'>
277,Ferrol,43.48,-8.24,55.83,100,90,2.24,ES,<class 'datetime.date'>
278,Torbay,47.67,-52.73,33.13,99,90,19.46,CA,<class 'datetime.date'>
279,Samarai,-10.62,150.67,80.19,79,89,17.36,PG,<class 'datetime.date'>
280,Inta,66.03,60.17,54.48,86,99,12.44,RU,<class 'datetime.date'>
281,Nanortalik,60.14,-45.24,37.94,84,71,3.36,GL,<class 'datetime.date'>
282,Luena,-11.78,19.92,60.67,69,39,7.05,AO,<class 'datetime.date'>
283,Anloga,5.79,0.9,82.4,83,20,4.7,GH,<class 'datetime.date'>
284,Palmer,42.16,-72.33,46.6,66,90,8.05,US,<class 'datetime.date'>
285,San Quintín,30.48,-115.95,68.11,64,53,3.2,MX,<class 'datetime.date'>
286,Oruzgan,32.83,66.0,77.88,18,30,4.03,AF,<class 'datetime.date'>
287,Mayo,38.89,-76.51,52.81,58,1,8.5,US,<class 'datetime.date'>
288,Dhidhdhoo,6.88,73.1,85.06,70,100,5.46,MV,<class 'datetime.date'>
289,Tefé,-3.35,-64.71,73.67,98,84,2.01,BR,<class 'datetime.date'>
290,Kidal,18.44,1.41,80.64,13,0,8.57,ML,<class 'datetime.date'>
291,Alpena,45.06,-83.43,29.5,58,1,5.82,US,<class 'datetime.date'>
292,Tazovsky,67.47,78.7,36.63,100,87,13.51,RU,<class 'datetime.date'>
293,Saskylakh,71.92,114.08,9.7,93,79,8.08,RU,<class 'datetime.date'>
294,Puerto Baquerizo Moreno,-0.9,-89.6,76.05,93,5,9.42,EC,<class 'datetime.date'>
295,Vao,-22.67,167.48,73.04,79,72,29.21,NC,<class 'datetime.date'>
296,Sijunjung,-0.69,100.95,82.58,73,100,1.21,ID,<class 'datetime.date'>
297,Zhigansk,66.77,123.37,25.39,95,100,28.54,RU,<class 'datetime.date'>
298,Adrar,20.5,-10.07,85.26,16,88,8.43,MR,<class 'datetime.date'>
299,Łęczna,51.3,22.88,48.2,81,21,5.82,PL,<class 'datetime.date'>
300,Camacupa,-12.02,17.48,56.86,78,5,5.57,AO,<class 'datetime.date'>
301,Bambous Virieux,-20.34,57.76,79.39,88,75,2.24,MU,<class 'datetime.date'>
302,Bagé,-31.33,-54.11,39.2,93,0,2.24,BR,<class 'datetime.date'>
303,Mount Gambier,-37.83,140.77,62.6,67,40,17.22,AU,<class 'datetime.date'>
304,Kyaikto,17.3,97.02,93.72,45,7,10.42,MM,<class 'datetime.date'>
305,Carlsbad,33.16,-117.35,63.9,93,1,3.36,US,<class 'datetime.date'>
306,Cândido de Abreu,-24.57,-51.33,46.36,79,0,2.68,BR,<class 'datetime.date'>
307,Sivas Province,39.79,37.0,46.38,85,100,4.12,TR,<class 'datetime.date'>
308,San Cristobal,7.77,-72.22,68.14,88,94,3.87,VE,<class 'datetime.date'>
309,Moroni,-11.7,43.26,80.6,83,40,18.34,KM,<class 'datetime.date'>
310,Yenangyaung,20.47,94.88,102.78,19,0,4.85,MM,<class 'datetime.date'>
311,Micheweni,-4.97,39.83,80.04,83,93,17.34,TZ,<class 'datetime.date'>
